字號,字,韻部,聲調,字母,清濁,寧繼福擬音,url
1,東,東鍾,陰平,端,全清,tuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663a.png
2,冬,東鍾,陰平,端,全清,tuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663a.png
3,鍾,東鍾,陰平,照,全清,tʂiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663a.png
4,鐘,東鍾,陰平,照,全清,tʂiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663a.png
5,中,東鍾,陰平,照,全清,tʂiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663a.png
6,忠,東鍾,陰平,照,全清,tʂiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663a.png
7,衷,東鍾,陰平,照,全清,tʂiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663a.png
8,終,東鍾,陰平,照,全清,tʂiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663a.png
9,通,東鍾,陰平,透,次清,tʼuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663a.png
10,蓪,東鍾,陰平,透,次清,tʼuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663a.png
11,松,東鍾,陰平,心,全清,siuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663a.png
12,嵩,東鍾,陰平,心,全清,siuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663a.png
13,冲,東鍾,陰平,穿,次清,ʈʂʼiuŋ,https://c.cnkgraph.com/kanripoimgs/KR4j0090/WYG1496/WYG1496-0663a.png
