詩經韻腳字,上古韻部,廣韻字頭,中古韻部,中原音韻字頭,近代韻部
鳩,上古：幽,東,中古：東,東,近代：東鍾
洲,上古：幽,菄,中古：東,冬,近代：東鍾
逑,上古：幽,鶇,中古：東,鍾,近代：東鍾
流,上古：幽,䍶,中古：東,鐘,近代：東鍾
求,上古：幽,𠍀,中古：東,中,近代：東鍾
得,上古：職,倲,中古：東,忠,近代：東鍾
服,上古：職,𩜍,中古：東,衷,近代：東鍾
側,上古：職,𢘐,中古：東,終,近代：東鍾
采,上古：之,涷,中古：東,通,近代：東鍾
友,上古：之,蝀,中古：東,蓪,近代：東鍾
芼,上古：宵,凍,中古：東,松,近代：東鍾
樂,上古：藥,鯟,中古：東,嵩,近代：東鍾
穀,上古：屋,𢔅,中古：東,冲,近代：東鍾
萋,上古：脂,崠,中古：東,种,近代：東鍾
飛,上古：微,埬,中古：東,籠,近代：東鍾
木,上古：屋,𧓕,中古：東,充,近代：東鍾
喈,上古：脂,䰤,中古：東,衝,近代：東鍾
穀,上古：屋,同,中古：東,舂,近代：東鍾
莫,上古：鐸,仝,中古：東,忡,近代：東鍾
濩,上古：鐸,童,中古：東,摏,近代：東鍾
綌,上古：鐸,僮,中古：東,艟,近代：東鍾
斁,上古：鐸,銅,中古：東,䂌,近代：東鍾
歸,上古：微,桐,中古：東,翀,近代：東鍾
衣,上古：微,峒,中古：東,邕,近代：東鍾
否,上古：之,硐,中古：東,嗈,近代：東鍾
母,上古：之,𦨴,中古：東,雍,近代：東鍾
筐,上古：陽,𧱁,中古：東,空,近代：東鍾
行,上古：陽,筒,中古：東,悾,近代：東鍾
嵬,上古：微,瞳,中古：東,宗,近代：東鍾
隤,上古：微,㼧,中古：東,椶,近代：東鍾
罍,上古：微,𤭁,中古：東,騣,近代：東鍾
懷,上古：微,罿,中古：東,蜂,近代：東鍾
岡,上古：陽,犝,中古：東,風,近代：東鍾
黃,上古：陽,筩,中古：東,楓,近代：東鍾
觥,上古：陽,潼,中古：東,豐,近代：東鍾
傷,上古：陽,曈,中古：東,封,近代：東鍾
砠,上古：魚,洞,中古：東,葑,近代：東鍾
瘏,上古：魚,侗,中古：東,峯,近代：東鍾
痡,上古：魚,橦,中古：東,鋒,近代：東鍾
籲,上古：魚,烔,中古：東,烽,近代：東鍾
累,上古：微,䴀,中古：東,丰,近代：東鍾
綏,上古：微,挏,中古：東,鬆,近代：東鍾
荒,上古：陽,酮,中古：東,愡,近代：東鍾
將,上古：陽,鮦,中古：東,匆,近代：東鍾
縈,上古：耕,㼿,中古：東,葱,近代：東鍾
成,上古：耕,𦏆,中古：東,聦,近代：東鍾
詵,上古：文,𦍻,中古：東,驄,近代：東鍾
振,上古：文,眮,中古：東,囪,近代：東鍾
薨,上古：蒸,蕫,中古：東,蹤,近代：東鍾
繩,上古：蒸,穜,中古：東,縱,近代：東鍾
揖,上古：緝,衕,中古：東,樅,近代：東鍾
蟄,上古：緝,𩍅,中古：東,穹,近代：東鍾
華,上古：魚,𢈉,中古：東,芎,近代：東鍾
家,上古：魚,䆚,中古：東,傾,近代：東鍾
實,上古：質,哃,中古：東,工,近代：東鍾
室,上古：質,𢏕,中古：東,龔,近代：東鍾
蓁,上古：真,絧,中古：東,功,近代：東鍾
人,上古：真,𨚯,中古：東,攻,近代：東鍾
罝,上古：魚,𨝯,中古：東,公,近代：東鍾
丁,上古：耕,𪔜,中古：東,蚣,近代：東鍾
夫,上古：魚,𩦶,中古：東,弓,近代：東鍾
城,上古：耕,𪒿,中古：東,躬,近代：東鍾
罝,上古：魚,中,中古：東,恭,近代：東鍾
逵,上古：幽,衷,中古：東,宮,近代：東鍾
夫,上古：魚,忠,中古：東,供,近代：東鍾
仇,上古：幽,𦬕,中古：東,肱,近代：東鍾
罝,上古：魚,蟲,中古：東,觥,近代：東鍾
林,上古：侵,沖,中古：東,烘,近代：東鍾
夫,上古：魚,种,中古：東,叿,近代：東鍾
心,上古：侵,盅,中古：東,轟,近代：東鍾
苢,上古：之,爞,中古：東,薨,近代：東鍾
采,上古：之,𦬕,中古：東,凶,近代：東鍾
苢,上古：之,翀,中古：東,兇,近代：東鍾
有,上古：之,終,中古：東,胷,近代：東鍾
掇,上古：月,眾,中古：東,洶,近代：東鍾
捋,上古：月,潀,中古：東,兄,近代：東鍾
袺,上古：質,𣧩,中古：東,翁,近代：東鍾
襭,上古：質,螽,中古：東,䩺,近代：東鍾
休,上古：幽,𧑄,中古：東,癰,近代：東鍾
求,上古：幽,鼨,中古：東,廱,近代：東鍾
廣,上古：陽,蔠,中古：東,壅,近代：東鍾
泳,上古：陽,柊,中古：東,泓,近代：東鍾
永,上古：陽,𩅧,中古：東,崩,近代：東鍾
方,上古：陽,䶱,中古：東,繃,近代：東鍾
楚,上古：魚,鴤,中古：東,烹,近代：東鍾
馬,上古：魚,䈺,中古：東,同,近代：東鍾
廣,上古：陽,泈,中古：東,膧,近代：東鍾
泳,上古：陽,䝦,中古：東,筒,近代：東鍾
永,上古：陽,忡,中古：東,銅,近代：東鍾
方,上古：陽,浺,中古：東,桐,近代：東鍾
蔞,上古：侯,盅,中古：東,峒,近代：東鍾
駒,上古：侯,崇,中古：東,童,近代：東鍾
廣,上古：陽,崈,中古：東,僮,近代：東鍾
泳,上古：陽,㓽,中古：東,曈,近代：東鍾
永,上古：陽,𩞉,中古：東,瞳,近代：東鍾
方,上古：陽,嵩,中古：東,潼,近代：東鍾
枚,上古：微,崧,中古：東,鼕,近代：東鍾
饑,上古：脂,𪀚,中古：東,戎,近代：東鍾
肄,上古：質,娀,中古：東,茙,近代：東鍾
棄,上古：質,菘,中古：東,駥,近代：東鍾
尾,上古：微,硹,中古：東,絨,近代：東鍾
毀,上古：微,㣝,中古：東,茸,近代：東鍾
毀,上古：微,𧊕,中古：東,龍,近代：東鍾
邇,上古：脂,䯷,中古：東,隆,近代：東鍾
趾,上古：之,戎,中古：東,癃,近代：東鍾
子,上古：之,𢦦,中古：東,窿,近代：東鍾
麟,上古：真,茙,中古：東,窮,近代：東鍾
定,上古：耕,㭜,中古：東,藭,近代：東鍾
姓,上古：耕,駥,中古：東,蛩,近代：東鍾
麟,上古：真,𥬪,中古：東,卭,近代：東鍾
角,上古：屋,𠈋,中古：東,笻,近代：東鍾
族,上古：屋,狨,中古：東,曨,近代：東鍾
麟,上古：真,絨,中古：東,朧,近代：東鍾
居,上古：魚,弓,中古：東,櫳,近代：東鍾
禦,上古：鐸,躳,中古：東,瓏,近代：東鍾
方,上古：陽,躬,中古：東,豅,近代：東鍾
將,上古：陽,㴦,中古：東,礱,近代：東鍾
盈,上古：耕,宮,中古：東,聾,近代：東鍾
成,上古：耕,匑,中古：東,嚨,近代：東鍾
沚,上古：之,融,中古：東,膿,近代：東鍾
事,上古：之,肜,中古：東,農,近代：東鍾
中,上古：侵,瀜,中古：東,儂,近代：東鍾
宮,上古：侵,雄,中古：東,濃,近代：東鍾
僮,上古：東,熊,中古：東,穠,近代：東鍾
公,上古：東,瞢,中古：東,醲,近代：東鍾
祁,上古：脂,夢,中古：東,重,近代：東鍾
歸,上古：微,鄸,中古：東,蟲,近代：東鍾
蟲,上古：侵,懜,中古：東,慵,近代：東鍾
螽,上古：侵,𦫰,中古：東,鱅,近代：東鍾
子,上古：之,𧲎,中古：東,崇,近代：東鍾
忡,上古：侵,穹,中古：東,馮,近代：東鍾
止,上古：之,𢞏,中古：東,逢,近代：東鍾
止,上古：之,焪,中古：東,縫,近代：東鍾
降,上古：侵,芎,中古：東,叢,近代：東鍾
蕨,上古：月,𦵡,中古：東,䕺,近代：東鍾
子,上古：之,匑,中古：東,琮,近代：東鍾
惙,上古：月,𥳎,中古：東,熊,近代：東鍾
止,上古：之,窮,中古：東,雄,近代：東鍾
止,上古：之,藭,中古：東,墉,近代：東鍾
說,上古：月,𥨪,中古：東,容,近代：東鍾
薇,上古：微,馮,中古：東,鏞,近代：東鍾
子,上古：之,堸,中古：東,溶,近代：東鍾
悲,上古：微,汎,中古：東,蓉,近代：東鍾
止,上古：之,芃,中古：東,鎔,近代：東鍾
止,上古：之,𨝭,中古：東,瑢,近代：東鍾
夷,上古：脂,渢,中古：東,庸,近代：東鍾
