章节,篇名,原文,韻腳字,上古韻部
国风·周南,關雎,關關雎鳩，,鳩,幽
国风·周南,關雎,在河之洲。,洲,幽
国风·周南,關雎,窈窕淑女，,,
国风·周南,關雎,君子好逑！○,逑,幽
国风·周南,關雎,參差荇菜，,,
国风·周南,關雎,左右流之。,流,幽
国风·周南,關雎,窈窕淑女，,,
国风·周南,關雎,寤寐求之。,求,幽
国风·周南,關雎,求之不得，,得,職
国风·周南,關雎,寤寐思服。,服,職
国风·周南,關雎,悠哉悠哉！,,
国风·周南,關雎,輾轉反側。○,側,職
国风·周南,關雎,參差荇菜，,,
国风·周南,關雎,左右采之。,采,之
国风·周南,關雎,窈窕淑女，,,
国风·周南,關雎,琴瑟友之。,友,之
国风·周南,關雎,參差荇菜，,,
国风·周南,關雎,左右芼之。,芼,宵
国风·周南,關雎,窈窕淑女，,,
国风·周南,關雎,鍾鼓樂之。○,樂,藥
国风·周南,葛覃,葛之覃兮，,,
国风·周南,葛覃,施于中谷，,谷,屋
国风·周南,葛覃,維葉萋萋。,萋,脂
国风·周南,葛覃,黃鳥于飛，,飛,微
国风·周南,葛覃,集于灌木，,木,屋
国风·周南,葛覃,其鳴喈喈。○,喈,脂
国风·周南,葛覃,葛之覃兮，,,
国风·周南,葛覃,施于中谷，,谷,屋
国风·周南,葛覃,維葉莫莫。,莫,鐸
国风·周南,葛覃,是刈是濩，,濩,鐸
国风·周南,葛覃,爲絺爲綌，,綌,鐸
国风·周南,葛覃,服之無斁。○,斁,鐸
国风·周南,葛覃,言告師氏，,,
国风·周南,葛覃,言告言歸。,歸,微
国风·周南,葛覃,薄汙我私，,,
国风·周南,葛覃,薄澣我衣。,衣,微
国风·周南,葛覃,害澣害否？,否,之
国风·周南,葛覃,歸寧父母！○,母,之
国风·周南,卷耳,采采卷耳，,,
国风·周南,卷耳,不盈頃筐。,筐,陽
国风·周南,卷耳,嗟我懷人，,,
国风·周南,卷耳,寘彼周行。○,行,陽
国风·周南,卷耳,陟彼崔嵬，,嵬,微
国风·周南,卷耳,我馬虺隤。,隤,微
国风·周南,卷耳,我姑酌彼金罍，,罍,微
国风·周南,卷耳,維以不永懷！○,懷,微
国风·周南,卷耳,陟彼高岡，,岡,陽
国风·周南,卷耳,我馬玄黃。,黃,陽
国风·周南,卷耳,我姑酌彼兕觥，,觥,陽
国风·周南,卷耳,維以不永傷！○,傷,陽
国风·周南,卷耳,陟彼砠矣，,砠,魚
国风·周南,卷耳,我馬瘏矣，,瘏,魚
国风·周南,卷耳,我僕痡矣，,痡,魚
国风·周南,卷耳,云何吁矣！○,吁,魚
国风·周南,樛木,南有樛木，,,
国风·周南,樛木,葛藟纍之。,纍,微
国风·周南,樛木,樂只君子！,,
国风·周南,樛木,福履綏之。○,綏,微
国风·周南,樛木,南有樛木，,,
国风·周南,樛木,葛藟荒之。,荒,陽
国风·周南,樛木,樂只君子！,,
国风·周南,樛木,福履將之。○,將,陽
国风·周南,樛木,南有樛木，,,
国风·周南,樛木,葛藟縈之。,縈,耕
国风·周南,樛木,樂只君子！,,
国风·周南,樛木,福履成之。○,成,耕
国风·周南,螽斯,螽斯羽，,,
国风·周南,螽斯,詵詵兮。,詵,文
国风·周南,螽斯,宜爾子孫，,,
国风·周南,螽斯,振振兮！○,振,文
国风·周南,螽斯,螽斯羽，,,
国风·周南,螽斯,薨薨兮。,薨,蒸
国风·周南,螽斯,宜爾子孫，,,
国风·周南,螽斯,繩繩兮。○,繩,蒸
国风·周南,螽斯,螽斯羽，,,
国风·周南,螽斯,揖揖兮。,揖,緝
国风·周南,螽斯,宜爾子孫，,,
国风·周南,螽斯,蟄蟄兮！○,蟄,緝
国风·周南,桃夭,桃之夭夭，,,
国风·周南,桃夭,灼灼其華。,華,魚
国风·周南,桃夭,之子于歸，,,
国风·周南,桃夭,宜其室家。○,家,魚
国风·周南,桃夭,桃之夭夭，,,
国风·周南,桃夭,有蕡其實。,實,質
国风·周南,桃夭,之子于歸，,,
国风·周南,桃夭,宜其家室。○,室,質
国风·周南,桃夭,桃之夭夭，,,
国风·周南,桃夭,其葉蓁蓁。,蓁,真
国风·周南,桃夭,之子于歸，,,
国风·周南,桃夭,宜其家人。○,人,真
国风·周南,兔罝,肅肅兔罝，,罝,魚
国风·周南,兔罝,椓之丁丁。,丁,耕
国风·周南,兔罝,赳赳武夫，,夫,魚
国风·周南,兔罝,公侯干城。○,城,耕
国风·周南,兔罝,肅肅兔罝，,罝,魚
国风·周南,兔罝,施于中逵。,逵,幽
国风·周南,兔罝,赳赳武夫，,夫,魚
国风·周南,兔罝,公侯好仇。○,仇,幽
国风·周南,兔罝,肅肅兔罝，,罝,魚
国风·周南,兔罝,施于中林。,林,侵
国风·周南,兔罝,赳赳武夫，,夫,魚
国风·周南,兔罝,公侯腹心。○,心,侵
国风·周南,芣苡,采采芣苢，,苢,之
国风·周南,芣苡,薄言采之。,采,之
国风·周南,芣苡,采采芣苢，,苢,之
国风·周南,芣苡,薄言有之。○,有,之
国风·周南,芣苡,采采芣苢，,,
国风·周南,芣苡,薄言掇之。,掇,月
国风·周南,芣苡,采采芣苢，,,
国风·周南,芣苡,薄言捋之。○,捋,月
国风·周南,芣苡,采采芣苢，,,
国风·周南,芣苡,薄言袺之。,袺,質
国风·周南,芣苡,采采芣苢，,,
国风·周南,芣苡,薄言襭之。○,襭,質
国风·周南,漢廣,南有喬木，,,
国风·周南,漢廣,不可休息[思]。,休,幽
国风·周南,漢廣,漢有游女，,,
国风·周南,漢廣,不可求思。,求,幽
国风·周南,漢廣,漢之廣矣，,廣,陽
国风·周南,漢廣,不可泳思。,泳,陽
国风·周南,漢廣,江之永矣，,永,陽
国风·周南,漢廣,不可方思。○,方,陽
国风·周南,漢廣,翹翹錯薪！,,
国风·周南,漢廣,言刈其楚。,楚,魚
国风·周南,漢廣,之子于歸？,,
国风·周南,漢廣,言秣其馬。,馬,魚
国风·周南,漢廣,漢之廣矣，,廣,陽
国风·周南,漢廣,不可泳思。,泳,陽
国风·周南,漢廣,江之永矣，,永,陽
国风·周南,漢廣,不可方思。○,方,陽
国风·周南,漢廣,翹翹錯薪！,,
国风·周南,漢廣,言刈其蔞。,蔞,侯
国风·周南,漢廣,之子于歸？,,
国风·周南,漢廣,言秣其駒。,駒,侯
国风·周南,漢廣,漢之廣矣，,廣,陽
国风·周南,漢廣,不可泳思。,泳,陽
国风·周南,漢廣,江之永矣，,永,陽
国风·周南,漢廣,不可方思。○,方,陽
国风·周南,汝墳,遵彼汝墳，,,
国风·周南,汝墳,伐其條枚。,枚,微
国风·周南,汝墳,未見君子，,,
国风·周南,汝墳,惄如調飢！○,飢,脂
国风·周南,汝墳,遵彼汝墳，,,
国风·周南,汝墳,伐其條肄。,肄,質
国风·周南,汝墳,既見君子，,,
国风·周南,汝墳,不我遐棄？○,棄,質
国风·周南,汝墳,魴魚赬尾，,尾,微
国风·周南,汝墳,王室如燬。,燬,微
国风·周南,汝墳,雖則如燬，,燬,微
国风·周南,汝墳,父母孔邇！○,邇,脂
国风·周南,麟之趾,麟之趾，,趾,之
国风·周南,麟之趾,振振公子。,子,之
国风·周南,麟之趾,于嗟麟兮！○,麟,真
国风·周南,麟之趾,麟之定，,定,耕
国风·周南,麟之趾,振振公姓。,姓,耕
国风·周南,麟之趾,于嗟麟兮！○,麟,真
国风·周南,麟之趾,麟之角，,角,屋
国风·周南,麟之趾,振振公族。,族,屋
国风·周南,麟之趾,于嗟麟兮！○,麟,真
国风·召南,鵲巢,維鵲有巢，,,
国风·召南,鵲巢,維鳩居之。,居,魚
国风·召南,鵲巢,之子于歸，,,
